 
                                                                                                                                                                                                                                                                
 
FREQ 프로시저

                     Cluster ID
 
                                    누적       누적
CLUSTER      빈도      백분율       빈도      백분율
----------------------------------------------------
      7          84     10.46           84     10.46
      8         123     15.32          207     25.78
     10          67      8.34          274     34.12
     11          73      9.09          347     43.21
     16          80      9.96          427     53.18
     17          79      9.84          506     63.01
     18         111     13.82          617     76.84
     22         114     14.20          731     91.03
     23          72      8.97          803    100.00
